,Job_Role,Company,Location,Job Experience,Skills,Job_Description
3238,Data Engineer,Hanu Software Solutions Pvt Ltd,Greater Noida,0-4,"SQL queries, data services, GIT, Coding, Social media, Agile development, power bi, Analytics","Attention to detail Graduation Proven experience as a Data Engineer, ETL Developer, or ..."
3239,Data Engineer,Hanu Software Solutions Pvt Ltd,"Noida, Greater Noida",0-4,"SQL queries, data services, GIT, Coding, Social media, Agile development, power bi, Analytics",You should be a team player with a keen eye for detail and problem-solving skills in th...
3240,Clarivate Analytics India Private Limited - Bigdata Developer,Naukri,"Bangalore/ Bengaluru, Karnataka",2-4,"Java, Big data, Development, Analytics, Data","Education (Bachelors degree in computer science, mechanical engineering, or related deg..."
3241,Python Spark developer,Aclara,Remote,5-9,"Aws Big Data, Spark, sql server, Python, Serv, Data, SQL, Big Data","Roles and Responsibilities Bachelors degree in computer engineering, Electrical Enginee..."
3242,bigdata developers,Nidhi Maritime Consultancy,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram",4-10,"Backend, orchestration, Coding, Instrumentation, Workflow, Application development, Apache, Teradata",Role and Responsibilities Working experience and communicating with business stakeholde...
3243,BigData Developers,Augmatrixgo,"Hyderabad, Pune, Gurgaon",4-10,"GIT, Coding, Workflow, Instrumentation, Application development, Apache, Teradata, JIRA",Hands on experience with performance and scalability tuning . Professional experience i...
3244,Data Analyst - Member of Technical Staff,VMware,Bangalore/Bengaluru,2-5,"Product management, VMware, Performance tuning, Data modeling, Coding, Debugging, Unit testing, Purchase Manager","You are talented Data Engineer who is excited about redefining, re imagining, and contr..."
3245,Data Steward,Bayer,Bangalore/Bengaluru,1-4,"Computer science, Cloud computing, Data analysis, Data collection, CMMI, Data processing, Data quality, Monitoring",". WHO YOU ARE: . Master s Bachelors Degree in Computer Science, Engineering, Crop Scien..."
3246,Data & Analytics Leader - Data and Platform Operations,Baker Hughes,Bangalore/Bengaluru,5-9,"Operations Manager, Data management, Data modeling, data security, Project management, Disaster recovery, Data quality, Analytics",Conducting performance and Ops reviews for leadership and stakeholders by using and own...
3247,ACN - Applied Intelligence - Finance - Data Science - 10,Accenture,Bangalore/Bengaluru,2-7,"Data Science, Open source, ACN, ETL, Python, Java, Scala, SCALA","Quantexa Certification /Quantexa Experience (Mandatory)Proven big data experience, eith..."
3248,Data Modeller,Capco,Bangalore/Bengaluru,4-7,"Business analysis, Schema, Agile, OLAP, Data quality, market data, Financial services, SDLC",Knowledge of and experience using data models and data dictionaries in a Banking and Fi...
3249,CN - Tech Strategy & Advisory - Data Strategy - Senior Manager,Accenture,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",15-21,"Data analysis, data governance, Data quality, Data architecture, data modelling, Data Management, cloud platforms, Data warehousing","Leverage team building skills to collaborate, work and motivate teams with diverse skil..."
3250,Hiring Tester - Cloud & Data Lakes,Thirdware A TechMahindra Company,"Hybrid - Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",3-8,"GCP, Data Testing, data lake, data warehouse testing, database testing, Data warehousing, Cloud, DBMS","Work environment built on collaboration, flexibility and respect Work from home during ..."
3251,Data Analyst-PYSPARK,Capco,Bangalore/Bengaluru,3-7,"Business analysis, XML, Agile, Data quality, market data, Asset management, Financial services, SDLC",Define and obtain source data required to successfully deliver insights and use cases D...
3252,Data Modeler,Capgemini,Bangalore/Bengaluru,10-12,"Data Mart, NoSQL, data modeling, Data Profiling, DynamoDB, Teradata, MPP databases, HBase","Good to have experience with various relational databases like Postgres / MySQL, MPP da..."
3253,Hiring Data Science @ Hyderabad,Rlabs Enterprise Services,Hybrid - Hyderabad/Secunderabad,5-8,"Data Science, Rest API, AWS, Pyspark, Python, Science, Hiring, Rest","Required skills Bachelors Degree in Economics, Finance, Statistics, Mathematics, Comput..."
3254,Lighthouse Azure Data Platform Senior,KPMG,Bangalore/Bengaluru,4-9,"Solution architecture, Automation, Team management, Architecture, data governance, Visual Studio, Analysis services, SQL",Education 60% above throughout academics . One 3 years (at least) regular course is mus...
3255,Data Architect (GCP Data Engineer),Virtual Employee,"Hybrid - Kolkata(Kalikapur), Delhi / NCR(Sector-63 Noida)",5-10,"python, data engineer, Gcp Cloud, TOGAF, Data Architecture, gcp architecture, Data Engineering, Cloud Architecture","Job Description-The Data Architect will play a key role at organisation, where we desig..."
3256,Senior Manager-Data Science,Ola,Bangalore/Bengaluru,6-11,"Data Science, R, Natural Language Processing, Machine Learning, Deep Learning, Tensorflow, python, C++","Founded in Jan 2011 by IIT Bombay alumni Bhavish Aggarwal and Ankit Bhati, Ola (formerl..."
3257,Hiring -Azure Data Factory+PowerBI+SQL,Krazy Mantra,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",6-10,"Data Engineering, Power Bi, Azure Data Development, SQL, Azure Data Factory, Data Transformation, Troubleshooting, ETL Tool",7 Years of experience in Data Engineering and Data modeling.3 Years of experience in Az...
3258,Celonis & Salesforce Data Analyst,Hitachi Energy,"Chennai, Bangalore/Bengaluru",3-6,"Mining, Data analysis, Business analysis, Data modeling, Process improvement, Analytical, Customer support, Business intelligence",Your background: . A minimum of 2 years working with Celonis as Data Analyst or Data En...
3259,Celonis & Salesforce Data Analyst,Hitachi Ltd.,Bangalore/Bengaluru,2-7,"Mining, Data analysis, Business analysis, Data modeling, Process improvement, Analytical, Customer support, Operations",Your background: . A minimum of 2 years working with Celonis as Data Analyst or Data En...
3260,Data Analyst,Capco,Bengaluru,3-6,"Relationship management, Data analysis, SAS, Business analysis, Risk assessment, Data quality, Investment banking, Asset management",Perform Data Analysis to develop data sourcing requirement Must possess strong relation...
3261,Scala Developer,NMS Consultant,"Gurgaon/ Gurugram, Haryana",3-8,"Developer, Design, SCALA, hadoop, big data, Maven, nexus, Devops",Roles and Responsibilities JOB DESCRIPTIONHands on experience of offers and features of...
3262,Data Engineer_Big Data,Fractal Analytics,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",2-12,"Cloud computing, C++, Linux, Project management, Shell scripting, Agile, JIRA, SQL","Expert-level proficiency in at-least one of Java, C++ or Python (preferred) 3 to 12 yea..."
3263,Test Data Management,DTC Infotech,Bangalore/Bengaluru,5-10,"Automation, Manual testing, Db2, XML, Javascript, HTML, Informatica, VB",Experience managing test data including creation and mining using data management tools...
3264,Databricks Unified Data Analytics Platform Analytics Advisor,Accenture,Bangalore/Bengaluru,6-8,"Project management, Data structures, Analytics, SQL, Python, ARM Templates, metadata, Serverless Architecture",Educational Qualification : GraduateWork Experience :6-8 years
3265,DATA ANALYST III,Walmart,Bangalore/Bengaluru,3-6,"Data analysis, Networking, Lead Associate, Analytical, Consulting, Data mining, Business intelligence, Analytics",Experience in operating from a cloud environment such as Google Could Platform or Micro...
3266,Senior Manager Data Science Global,Red Hat,Bangalore/Bengaluru,8-13,"Machine Learning, python, data science, operations research, CI/CD, sql, Machine, Science","The Data Development, Insights & Strategy team is a highly focused effort to use the co..."
3267,Databricks Unified Data Analytics Platform Analytics Advisor,Accenture,Bangalore/Bengaluru,8-10,"Pyspark, Azure Databricks, Data Analytics, data engineering, Azure Data Factory, Azure Active Directory, Delta Lake, Directory",Technical Experience : 1 Should have more than 8 years of experience in IT Should have ...
3268,"Manager, Data Science",Mondelez,Mumbai,6-11,"C++, Coding, Analytical, Javascript, Predictive modeling, Data mining, Business solutions, Analytics",". Education /Certifications: Bachelor s or Master s in Computer Science, Engineering, C..."
3269,Senior Analyst - Data Governance & Management,AMERICAN EXPRESS,Gurgaon/Gurugram,2-5,"Career development, Operational risk, Bfsi, Business analytics, Flex, data governance, Data quality, SQL",This position is within GRC Platform and Capabilities team within Global Risk and Compl...
3270,Manager - Data Governance & Management,AMERICAN EXPRESS,Gurgaon/Gurugram,3-7,"Automation, Data management, Operational risk, Bfsi, Project management, Business analytics, Agile, Data quality",Handle the data exploration activities to identify the common variables and unified def...
3271,Databricks Unified Data Analytics Platform Analytics Advisor,Accenture,Bangalore/Bengaluru,8-10,"Pyspark, Azure Databricks, Data Analytics, Azure Data Factory, Azure Active Directory, data engineering, Directory, Active directory",Technical Experience : 1 Should have more than 8 years of experience in IT Should have ...
3272,Databricks Unified Data Analytics Platform Analytics Advisor,Accenture,Bangalore/Bengaluru,8-10,"Delta, Data analytics, Operations, Analytics, STO, pyspark, azure data factory, data engineering",Technical Experience : 1 Should have more than 8 years of experience in IT Should have ...
3273,Databricks Unified Data Analytics Platform Analytics Advisor,Accenture,Bangalore/Bengaluru,6-8,"Delta, Data analytics, Operations, Analytics, STO, pyspark, azure data factory, data engineering",Job Requirements : Key Responsibilities : 1 Show a strong development skill in Pyspark ...
3274,Clinical Data Manager,IQVIA,Hybrid - Bangalore/Bengaluru,3-7,"Excel, Clinical Data Management, Clinical, Clinical Data, Data management, Data, Management",2 years in clinical data domain within IQVIA / Q2 is preferredExperience and Skills
3275,"Senior Manager, Data Science_Global",Red Hat,Bangalore/Bengaluru,8-9,"Order management, Redhat, Operations research, Sales operations, Analytical, Machine learning, Account management, Operations","Experience in gradient boosted machines, operations research and optimization, and netw..."
3276,MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,Bangalore/Bengaluru,2-5,"Training, deep learning, tableau, data science, Coding, Analytical, Machine learning, Subject Matter Expert","Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NLP,..."
3277,Lead Data Engineer / Architect,Airo Digital Labs,Remote,8-12,"Architect, metadata, Data management, Data modeling, Datastage, Machine learning, JIRA, Information technology","Bachelors degree in computer science, software development, engineering, or a related t..."
3278,Data Analyst - Senior Associate/ Team Lead,Paytm,Bangalore/Bengaluru,2-5,"EDC, Manager Program Management, Agile, Product design, Advanced Excel, Analytics, Financial services, Secondary research",Graduation is mustSQL (preferably BigQuery and Hive) . Advanced Excel . Any visualizati...
3279,Spark Developer,Vishanz Business Services,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",3-5,"Spark, Spark Developer, agile methodologies, Bigdata, performance engineering, SDLC, Performance, Agile methodology",We are looking for experience Spark Developer.Knowledge of design principles and fundam...
3280,Manager -Data Science,AMERICAN EXPRESS,Gurgaon/Gurugram,2-6,"Automation, Data modeling, Project management, Analytical, Strategic planning, Oracle, Operations, SQL","Bachelor s or Master s degree in Data Science, Computer Science, Statistics, Mathematic..."
3281,"Analyst, Data and Analytics",Dsm Shared Services India,Hyderabad/Secunderabad,1-5,"data cleansing, Data analysis, Automation, Nutrition, Consulting, Data processing, AWS, Analytics",The vision of i-Health is to become the worldwide leader in health and wellness categor...
3282,Principal Data Analytics,Providence College Of Engineering,Hyderabad/Secunderabad,12-15,"Data analysis, Database design, Agile, Healthcare, Data analytics, Principal, Analytics, Performance improvement","Experience working in Azure Data Factory, Azure Databricks, Azure Data Lake, Power BI, ..."
3283,Data Quality Analyst,Quality Engineering Software Technologies Pvt. Ltd.,Bangalore/Bengaluru,4-5,"Computer science, Backend, Automation, Data validation, Data management, Reconciliation, Data processing, microsoft","Experienced working in agile environment and in DevOps methodology, preferably using Az..."
3284,Data Analyst -M&T,Accolite Software India Pvt Ltd,Bangalore/Bengaluru,5-7,"tableau, NoSQL, Senior Analyst, Analytical, power bi, Data Analyst, MATLAB, AWS",Must Have Skills: . . 5+ years experience in Data / Insight Analyst role with proven ab...
3285,DATA ANALYST,Muthoot Finance,Bangalore/Bengaluru,1-4,"Data analysis, Usage, Diagnostics, Analytical, Corporate, Data quality, Data Analyst, Management",Emphasis is on end-to-end delivery of Analysis Contribute to how analytical approach is...
3286,Cloud Data Engineering - Solution Architect,Air Products,Pune,8-12,"Solution architecture, Networking, Data management, Analytical, Consulting, Architectural design, Information management, Project delivery",Bachelor s Degree in Information Technology field or related technical discipline prefe...
3287,Bigdata Developer -Assistant Manager,State Street,Hyderabad/Secunderabad,5-8,"JMS, Cloud computing, Application support, Multithreading, Coding, Debugging, Oracle, Financial services","Minimum of 10 Years of experience in coding, debugging and analytical skills: Core prob..."
3288,Azure Data Engineer / Architect,Thompsons Hr Consulting,Chennai,7-10,"Project development, Architect, Data management, spark, Analytical, SCALA, Agile, SDLC",Bachelor s degree or equivalent Required Skills: . . . . In-depth understanding of data...
3289,"Software Engineer (Hadoop, HDFS, Spark, Python) - Chennai",ICON plc,Chennai,6-10,"pyspark, hdfs, hive, python, spark, Software, Software engineering, Hadoop","Mandatory Skillset : Unix scripting, python scripting, hive, hdfs, sparkYears of Experi..."
3290,Sr. Software Engineer,Essenware Private Limted,Pune,2-4,"cloudera, NoSQL, Linux, spark, SCALA, Programming, Scheduling, Unix scripting",Refer the below JD Must: Apache Spark Scala Python Java 8 Apache Hadoop HDFS Shell / Li...
3291,Backend Engineer,IBM,Kochi/Cochin,1-3,"Unix, Automation, Linux, Data management, Open source, REST API development, Data Engineering, Cloud","Software Developers at IBM are the backbone of our strategic initiatives to design, cod..."
3292,Data Scientist,Ford,"Hybrid - Chennai, Tamil Nadu",2-7,"Data Science, Predictive Modeling, python, Statistical Modeling, mathematical programming, Predictive, Mathematics, Science","Masters in Data Science, Computer Science, Electrical Engineering, Applied math, Mechan..."
