,Job_Role,Company,Location,Job Experience,Skills,Job_Description
849,Senior Data Engineer,DAZN,Hyderabad/Secunderabad,5-10,"IT services, Analytical skills, operational support, Agile, Infrastructure, Scrum, Apache, Operations",Experience with infrastructure-as-code (preferably Terraform) and CI / CD processesExpe...
850,Senior Data Engineer -Oracle Data Integrator,Enquero,Hyderabad/Secunderabad,5-9,"metadata, Data validation, Data modeling, SQL Tuning, Data collection, PLSQL, Data processing, Scheduling",Minimum . 5+ years of Oracle Data Integrator experience . a must . .ODI . expertise . i...
851,Senior Data Engineer,"Epiq Systems, Inc.",Hyderabad/Secunderabad,5-10,"metadata, Analytical, Machine learning, power bi, Data quality, Monitoring, Python, Analytics","Bachelors / master s degree in information or computer science required - BTech, MCA, M..."
852,Senior AWS Data Engineer,Flutters,Hyderabad/Secunderabad,6-11,"Cloud computing, GIT, Stock exchange, Shell scripting, Integration testing, Agile, Business intelligence, Gaming",Experience with Streaming based integration patterns / stream processing . Broad experi...
853,Sr Data Engineer - Hadoop/hive/pig,Okda Solutions,Hyderabad/Secunderabad,8-12,"Java, Hadoop, Data Management, Data Mining, Data Analyst, No SQL, Data warehousing, Pig",Skills: . - BE / MTech Computer Science from top Engineering Colleges
854,"Senior Associate, Java with Data Engineer, Enterprise Data",Dbs Technology Services,Hybrid - Hyderabad/Secunderabad,6-10,"Data Integration, kubernetes, Azure, openshift, Core Java Programming, Microservices, docker, core",Experience in problem solving and root-cause analysis on any errors during the process ...
855,Senior Data Engineer,Feham Hr Solutions,Hyderabad/Secunderabad,10-13,"SQL Development, OLAP, ETL, OLTP, Development, Senior, Data, SQL","NP <15 Days SQL Developer with Data Warehousing knowledge of and exp with reporting, da..."
856,Senior Data Engineer - Data Modeling,Resourcetree Global Service,"Hyderabad/Secunderabad, Chennai",6-11,"Version control, Data management, Db2, RDBMS, Schema, OLAP, Data quality, Agile methodology","Adept understanding of any of the cloud services is preferred (Azure, AWS & GCP) 6+ yea..."
857,Senior Data Engineer,Ninja Van,Hyderabad/Secunderabad,2-5,"Computer science, Backend, NoSQL, GCP, MySQL, Workflow, Monitoring, SQL",Bachelor s or Master s degree in Computer Science or related field from a top universit...
858,"Sr. Data Engineer (Power BI, SQL, DAX)-Remote",Team Plus Staffing Solution,"Pune, Maharashtra, Mumbai (All Areas)",6-9,"Power Bi, Data Analysis Expressions, Data Engineer, Dax, SQL, Etl Process, Data Modeling, Data Warehousing","Develop and maintain robust data pipelines , ETL processes to extract, transform, and l..."
859,Senior Data Engineer,Fusion Plus Solutions,Hyderabad/Secunderabad,3-6,"Data analysis, spark, Cloud, Infrastructure, Data structures, PLSQL, Deployment, big data","Develop code in SPARK, Oracle PL/SQL as per the requirements and data structures Develo..."
860,Senior Data Engineer,Flutter,Hyderabad/Secunderabad,2-5,"Cloud computing, Stock exchange, Shell scripting, Integration testing, Agile, Manager Technology, Business intelligence, Gaming",We will kit you out to work from home but know that working as a team is what makes us ...
861,Senior Cloud Architect Data Engineering,Vichara Technologies,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram",7-12,"Java, Scala, C + +, Hadoop, Spark, Aws, Data Analytics, Cloud Architect","Experience in Azure, AWS (Glue, Redshift, Kinesis)Bachelor s degree in Computer Science..."
862,Senior Data Engineer,Fusion Plus Solutions,Hyderabad/Secunderabad,3-7,"Performance tuning, Data migration, metadata, Data modeling, Data quality, Stored procedures, SQL, CRM",Take ownership of the integration scalability for both batch file feed and near real ti...
863,Senior Data Engineer,Skillety,Hyderabad/Secunderabad,2-5,"Marketing analytics, Staffing, Financial analytics, HIPAA, Data structures, Healthcare, power bi, SQL Azure","Working as part of the Marketing Platforms Team within the Digital Innovation Group, th..."
864,Senior Data Engineer - Snowflake,Enquero,Hyderabad/Secunderabad,6-9,"github, RDBMS, Analytical, SCALA, Agile, Manager Technology, Programming, SQL",REQUIRED . Sr Developer / Lead with 6-9 yrs exp at Lead Consultant level . Strong progr...
865,Senior AC -Data Engineer,Randstad India,Hybrid - Chennai,5-8,"python, Data Engineering, pyspark, Unix Shell Scripting, MongoDB, ETL, Data, Scripting","Required Qualifications, US: . 4+ years of Quantitative Solutions Engineering experienc..."
866,Senior Data Engineer With AWS Redshift,Anicalls,Hyderabad/Secunderabad,5-10,"Unix, Cloud computing, GIT, Scalability, Data modeling, AWS, Data warehousing, SQL","Candidate should have: Clear, concise communication abilities - writing, verbal, presen..."
867,Senior Python Data Engineer,Seneca Global It Services,"Hybrid - Hyderabad/ Secunderabad, Telangana",4-9,"ORM, Python, Flask, Airflow, Unit Testing, Docker, Pytest, FastAPI","Must enjoy problem solving, have excellent communication skills and be a good team play..."
868,Senior Business Analyst/Data Analyst/Data Engineer,Transform to IT,Remote,6-11,"data analysis, Business Analytics, business analysis, data engineering",Job Title: Senior Business Analyst/Data Analyst/Data Engineer (Part-time After work hou...
869,Sr Data Engineer,Mouri Tech,Hyderabad/Secunderabad,6-8,"Performance tuning, Architecture, AWS, SQL, Python, Performance, Data Engineering, SR","Mandatory Skills :- Experience in DBT, AWS glue, Pyspark, Python, data pipeline, lambda..."
870,Senior Analytics Engineer - Data Engineer,Deliveroo,Hyderabad/Secunderabad,7-9,"Automation, Product engineering, Version control, Coding, Data modeling, Catering, Analytics, Downstream","Required Minimum 7+ years experience within the field of Data Engineering, BI Engineeri..."
871,Senior Data Engineer,Hire Hub Hr Services,Hyderabad/Secunderabad,3-5,"Computer languages, C++, Web services, Coding, spark, Machine learning, Predictive modeling, Customer experience",Good Communication skills Assess the accuracy of data gathering techniques Develop cust...
