,Job_Role,Company,Location,Job Experience,Skills,Job_Description
72,"Expert, Data scientist",Schneider Electric,Bangalore/Bengaluru,4-8,"Data analysis, Manager Quality Assurance, Coding, Analytical, Machine learning, MySQL, Data mining, Analytics",Requirements and Skills . You should have Bachelor s or Master s degree in Computer Sci...
73,Staff Data Scientist,Walmart,Bangalore/Bengaluru,9-10,"Supply chain, Career development, data science, Networking, Analytical, Consulting, Machine learning, Information technology",Drives the execution of multiple business plans and projects by identifying customer an...
74,SENIOR DATA SCIENTIST,Walmart,Bangalore/Bengaluru,7-9,"Supply chain, Prototype, Network design, Simulation, Consulting, SEZ, Merchandising, Information technology",Bachelor s / Masters degree in Computer Science / Operations Research / MBA or related ...
75,Data Science consultant,Accenture,Bangalore/Bengaluru,4-5,"data science, Python, SQL, customer analytics, node.js, nlp, regression testing, Omni Channel Integration","As part of this role, the candidate is expected to have experience and be well versed i..."
76,Senior Data Scientist,Grid Dynamics,Hyderabad/Secunderabad,6-9,"azure databricks, bayesian, python, demand forecasting, modeling, data analytics, data interpretation, access",The Data Scientist will have access to the vast amount of data stored in heterogeneous ...
77,NLP Data Scientist,Heaps Health Solutions India,"Hyderabad/Secunderabad, Bangalore/Bengaluru",2-3,"Basic, Data analysis, Version control, GIT, GCP, Programming, Healthcare, Technology solutions",Experience / Qualification . 2-3 years of prior NLP experiencePrior experience of build...
78,Data Scientist,Heaps Health Solutions India,"Hyderabad/Secunderabad, Bangalore/Bengaluru",1-4,"Data analysis, Version control, GIT, data science, GCP, Analytical, Machine learning, Data mining",Understand business problems and work on the statistical and analytical approach requir...
79,Data Scientist / Sr . Data Scientist,Thompsons Hr Consulting,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-8,"Computer science, Electrical engineering, deep learning, Machine learning, SCALA, Programming, Regression analysis, Statistics",". Bachelors or Master s in Computer Science, Electrical Engineering, Statistics, or equ..."
80,Lead - Data Scientist,Quince Corporate Services,"Hyderabad/Secunderabad, Bangalore/Bengaluru",8-10,"Unix, Computer science, Linux, Coding, Machine learning, Customer service, Analytics, SQL","You should also have a business mindset, swift to identify risk situations and opportun..."
81,Data Scientist,Atmecs Technologies,Hyderabad/Secunderabad,4-8,"Cloud computing, Computer vision, GCP, Analytical, Machine learning, data visualization, Reporting tools, SQL",Experience working with the Insurance domain would be a plus . What we are looking for ...
82,Data Scientist,Pepsi Foods,Hyderabad/Secunderabad,6-8,"System architecture, Automation, Analytical, Machine learning, model development, Mentor, Data quality, Agile methodology",Build and manages automation pipelines to operationalize the machine learning platform ...
83,Data Scientist,Fusion Plus Solutions,Hyderabad/Secunderabad,3-6,"deep learning, data science, devops, Machine learning, Cloud, Data collection, Infrastructure, Deployment",. . . No of years experience 6+ years - 10 Years Detailed job description - Skill Set: ...
